elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
296,2011-01-01,2015-11-01,46.3047,"BRECKENRIDGE 3 E, MN US",0.9835,COOP:210974,METERS,-96.5216
356.6,1948-08-01,2015-11-01,43.544,"BRICELYN, MN US",0.8849,COOP:210981,METERS,-93.8423
452.9,1948-08-01,2015-11-01,47.2472,"BRIMSON 2 S, MN US",0.9493,COOP:210989,METERS,-91.8624
298.1,1973-12-01,2015-11-01,45.59595,"BROWNS VALLEY, MN US",0.998,COOP:211063,METERS,-96.82841
317,2003-09-01,2015-11-01,44.7335,"BROWNTON WWTP, MN US",0.9933,COOP:211065,METERS,-94.3418
381.9,1990-09-01,2015-11-01,46.3004,"BRUNO 7 ENE, MN US",0.9968,COOP:211074,METERS,-92.5337
302.4,1948-08-01,2013-06-01,45.1969,"BUFFALO, MN US",0.8538,COOP:211107,METERS,-93.8399
317.3,1993-08-01,2015-11-01,44.0909,"BYRON 4NORTH, MN US",0.9926,COOP:211174,METERS,-92.64
355.4,1947-05-01,2015-11-01,43.6309,"CALEDONIA, MN US",0.9732,COOP:211198,METERS,-91.5027
294.1,1932-03-01,2015-11-01,45.55646,"CAMBRIDGE, MN US",0.9323,COOP:211227,METERS,-93.23484
296.3,1931-01-01,2006-01-01,46.09583,"CAMPBELL, MN US",0.8968,COOP:211245,METERS,-96.40917
392.9,2001-09-01,2015-11-01,48.61,"CAMP NORRIS DNR, MN US",0.9824,COOP:211250,METERS,-95.1816
368.8,1931-01-01,2015-11-01,44.7184,"CANBY, MN US",0.9578,COOP:211263,METERS,-96.2696
288,2010-05-01,2013-12-01,44.48278,"CANNON FALLS 2 SW, MN US",0.9987,COOP:211278,METERS,-92.91333
310.9,1948-08-01,2002-02-01,48.95111,"CARIBOU 2 S, MN US",0.9659,COOP:211303,METERS,-96.46389
426.7,2008-05-01,2015-11-01,45.9652,"CARLOS 2 WSW, MN US",0.9999,COOP:211310,METERS,-95.3386
395,1907-02-01,2015-11-01,47.3847,"CASS LAKE, MN US",0.9855,COOP:211374,METERS,-94.6147
276.5,1962-11-01,2005-11-01,45.32222,"CEDAR, MN US",0.971,COOP:211390,METERS,-93.28444
391.7,2014-01-01,2015-11-01,47.8663,"CELINA 2 E, MN US",1,COOP:211422,METERS,-93.0266
,1949-03-01,1951-08-01,48.7,"CENTRAL, MN US",0.3853,COOP:211426,,-94.35
288.3,1996-01-01,2015-11-01,44.8496,"CHANHASSEN WSFO, MN US",1,COOP:211448,METERS,-93.5644
219.5,1931-01-01,2004-07-01,44.8,"CHASKA, MN US",0.9287,COOP:211465,METERS,-93.5833
281.3,2005-02-01,2015-11-01,44.813,"CHASKA 2 NW, MN US",0.9928,COOP:211468,METERS,-93.6312
326.7,1951-08-01,1998-05-30,48.68333,"CLEMENTSON, MN US",0.998,COOP:211589,METERS,-94.43333
385.6,1931-01-01,2015-11-01,46.70539,"CLOQUET, MN US",0.9951,COOP:211630,METERS,-92.52391
325.8,1948-08-01,2002-08-01,45.05,"COKATO, MN US",0.9569,COOP:211669,METERS,-94.25
402.9,1934-07-01,1954-07-01,47.26667,"COLERAINE, MN US",0.9086,COOP:211675,METERS,-93.46667
368.8,1931-01-01,2015-11-01,45.5794,"COLLEGEVILLE ST. JOHN S, MN US",0.95,COOP:211691,METERS,-94.392
331.9,1948-08-01,1972-08-01,44.11667,"COMFREY 4 E, MN US",0.9723,COOP:211718,METERS,-94.81667
413,1999-07-01,2015-11-01,47.8948,"COOK 8 NE, MN US",0.9846,COOP:211771,METERS,-92.5337
413,1997-11-01,1999-06-01,47.8948,"COOK 8 NE, MN US",0.8023,COOP:211773,METERS,-92.5337
400.8,1959-09-01,1995-09-01,47.86667,"COOK 18 W, MN US",0.9446,COOP:211776,METERS,-93.06667
299,1948-08-01,1981-06-01,45.23333,"CORRELL, MN US",0.8928,COOP:211812,METERS,-96.16667
403.3,1962-09-01,2015-11-01,47.1687,"COTTON, MN US",0.7262,COOP:211840,METERS,-92.4629
342,1948-08-01,1978-06-01,48.26667,"CRANE LAKE RANGER ST, MN US",0.6212,COOP:211857,METERS,-92.46667
271.6,1931-01-01,2015-11-01,47.8186,"CROOKSTON NW EXPERIMENTAL STATION, MN US",0.9912,COOP:211891,METERS,-96.6139
396.8,1948-08-01,1951-08-01,47.51667,"CUT FOOT SIOUX RANGE, MN US",0.3244,COOP:211963,METERS,-94.01667
402.3,2007-02-01,2010-09-01,46.125,"DALTON 3 S, MN US",1,COOP:212015,METERS,-95.90889
324.6,2003-08-01,2015-11-01,45.04181,"DASSEL 3 SE, MN US",0.9391,COOP:212023,METERS,-94.27818
321.6,1941-12-01,2015-11-01,44.9318,"DAWSON, MN US",0.9302,COOP:212038,METERS,-96.045
448.4,1982-11-01,2015-11-01,46.8998,"DEEP PORTAGE, MN US",0.922,COOP:212050,METERS,-94.3873
297.2,1977-12-01,2015-11-01,45.04698,"DELANO, MN US",0.8838,COOP:212088,METERS,-93.77717
413,1895-12-01,2015-11-01,46.8373,"DETROIT LAKES 1 NNE, MN US",0.9563,COOP:212142,METERS,-95.8375
470,2009-11-01,2015-11-01,46.8576,"DETROIT LAKES 12 E, MN US",1,COOP:212146,METERS,-95.6068
386.8,1948-08-01,2014-01-01,44.0317,"DODGE CENTER, MN US",0.3892,COOP:212166,METERS,-92.8691
244.1,1956-04-01,1966-12-01,48.56667,"DRAYTON N DAK 2 NE, MN US",0.8293,COOP:212222,METERS,-97.15
185.9,1960-03-01,2004-09-01,46.7681,"DULUTH HARBOR STATION, MN US",0.9644,COOP:212246,METERS,-92.0903
433.4,1948-04-01,2015-11-01,46.8436,"DULUTH INTERNATIONAL AIRPORT, MN US",0.9939,COOP:212248,METERS,-92.18658
436.8,2011-01-01,2015-11-01,46.8368,"DULUTH NWS, MN US",1,COOP:212250,METERS,-92.2108
353.9,1948-08-01,1959-09-01,46.78333,"DULUTH, MN US",0.9063,COOP:212253,METERS,-92.1
274.3,1948-08-01,1948-11-25,44.08333,"ELBA, MN US",0.9819,COOP:212468,METERS,-92.01667
405.4,1948-08-01,1988-12-01,46.01083,"ELBOW LAKE, MN US",0.9711,COOP:212476,METERS,-95.87556
338.3,1948-08-01,2015-11-01,44.0969,"ELGIN 2 SSW, MN US",0.9641,COOP:212486,METERS,-92.2702
274.3,1949-09-01,2015-11-01,45.30565,"ELK RIVER, MN US",0.9824,COOP:212500,METERS,-93.58253
421.2,1997-11-01,2010-03-31,47.9239,"ELY, MN US",0.9868,COOP:212543,METERS,-91.8586
437.4,1998-06-01,2015-11-01,47.97463,"ELY 25 E, MN US",0.9809,COOP:212555,METERS,-91.44953
449.6,2011-01-01,2015-11-01,47.9056,"ELY, MN US",0.9835,COOP:212561,METERS,-91.8283
434.3,1994-11-01,2015-11-01,47.64317,"EMBARRASS, MN US",0.9843,COOP:212576,METERS,-92.22648
440.4,1986-10-01,2015-11-01,47.4581,"EVELETH WASTE WATER PLANT, MN US",0.9914,COOP:212645,METERS,-92.5303
361.8,1931-01-01,2012-12-01,43.6447,"FAIRMONT, MN US",0.9908,COOP:212698,METERS,-94.4656
295.7,1931-01-01,2015-11-01,44.3092,"FARIBAULT, MN US",0.9902,COOP:212721,METERS,-93.266
292.6,1931-01-01,2010-10-01,44.666,"FARMINGTON 3 NW, MN US",0.975,COOP:212737,METERS,-93.17559
286.5,2010-12-01,2010-12-01,44.61167,"FARMINGTON 3 SW, MN US",0.9819,COOP:212738,METERS,-93.18583
281,1957-04-01,1970-07-01,44.63333,"FARMINGTON 1 W, MN US",0.9875,COOP:212742,METERS,-93.16667
381,1931-01-01,2006-12-01,46.2919,"FERGUS FALLS, MN US",0.9803,COOP:212768,METERS,-96.1172
384,1986-07-01,2015-11-01,46.9728,"FLOODWOOD 3 NE, MN US",0.9943,COOP:212842,METERS,-92.87
275.8,1958-10-01,2015-11-01,45.33159,"FOREST LAKE 5 NE, MN US",0.9942,COOP:212881,METERS,-92.89824
301.8,2011-01-01,2012-12-01,44.456,"FORT RIDGELY STATE PARK, MN US",0.9993,COOP:212900,METERS,-94.735
345.6,1948-04-01,1990-06-01,46.18056,"FORT RIPLEY, MN US",0.9448,COOP:212904,METERS,-94.36556
396.2,1909-07-01,2015-11-01,47.5639,"FOSSTON 1 E, MN US",0.9005,COOP:212916,METERS,-95.7246
427.6,1940-01-01,2014-01-01,46.7336,"FRAZEE, MN US",0.8944,COOP:212964,METERS,-95.7066
368.8,1991-09-01,1996-11-01,46.33056,"GARRISON 4 NE, MN US",0.9204,COOP:213051,METERS,-93.7675
310.9,1956-10-01,2015-11-01,44.55647,"GAYLORD, MN US",0.9874,COOP:213076,METERS,-94.22077
269.7,1962-11-01,2015-11-01,47.0792,"GEORGETOWN 1 E, MN US",0.909,COOP:213104,METERS,-96.7758
365.2,1940-06-01,2015-11-01,45.6584,"GLENWOOD 2 WNW, MN US",0.9437,COOP:213174,METERS,-95.4392
272.8,1963-04-01,2014-01-01,44.9907,"GOLDEN VALLEY, MN US",0.0225,COOP:213202,METERS,-93.3989
437.7,1921-07-01,1990-10-01,47.73333,"GONVICK 2 W, MN US",0.8834,COOP:213206,METERS,-95.51667
186.5,1931-01-01,2015-11-01,47.7518,"GRAND MARAIS, MN US",0.9814,COOP:213282,METERS,-90.3282
411.5,1931-01-01,2015-11-01,43.7047,"GRAND MEADOW, MN US",0.9932,COOP:213290,METERS,-92.5644
222.5,1950-07-01,2015-11-01,47.9711,"GRAND PORTAGE RANGER STATION, MN US",0.6586,COOP:213296,METERS,-89.6908
399.3,1931-01-01,2015-11-01,47.2436,"GRAND RAPIDS FRS LAB, MN US",0.9941,COOP:213303,METERS,-93.4975
283.5,1948-08-01,2015-11-01,44.81346,"GRANITE FALLS, MN US",0.3626,COOP:213311,METERS,-95.55172
370.3,1931-01-01,2015-11-01,46.4119,"GULL LAKE DAM, MN US",0.9882,COOP:213411,METERS,-94.3608
443.5,1951-08-01,2015-11-01,48.1603,"GUNFLINT LAKE 10 NW, MN US",0.7276,COOP:213417,METERS,-90.8842
476.1,1948-08-01,1951-09-01,48.08333,"GUNFLINT LAKE, MN US",0.3532,COOP:213419,METERS,-90.7
248.4,1931-01-01,2015-11-01,48.7715,"HALLOCK, MN US",0.8253,COOP:213455,METERS,-96.9406
260,1956-04-01,2015-07-01,47.3522,"HALSTAD, MN US",0.8371,COOP:213463,METERS,-96.8332
304.5,2008-06-01,2012-12-01,44.7341,"HAMBURG, MN US",0.9994,COOP:213470,METERS,-93.9631
411.5,1948-08-01,2015-11-01,43.5458,"HARMONY, MN US",0.9827,COOP:213520,METERS,-92.0122
,1950-02-01,1950-02-01,44.76667,"HASTINGS LOCK 2, MN US",1,COOP:213562,,-92.86667
207.3,1932-10-01,2015-11-01,44.7597,"HASTINGS DAM 2, MN US",0.981,COOP:213567,METERS,-92.8689
355.1,1948-09-01,1989-12-01,46.88333,"HAWLEY 3 NE, MN US",0.6296,COOP:213587,METERS,-96.25
297.2,2010-07-01,2010-12-01,44.53556,"HENDERSON 3 W, MN US",0.9925,COOP:213678,METERS,-93.97
328.9,1948-08-01,1957-03-01,45.8,"HERMAN, MN US",0.9425,COOP:213708,METERS,-96.15
467,1948-08-01,1981-09-01,47.43333,"HIBBING POWER SUBSTN, MN US",0.9472,COOP:213727,METERS,-92.96667
408.2,1962-11-01,2009-06-01,47.38039,"HIBBING CHISHOLM HIBBING AIRPORT, MN US",0.9965,COOP:213730,METERS,-92.83246
350.5,1948-07-01,1993-12-01,48.06667,"HIGH LANDING 2 NW, MN US",0.8388,COOP:213756,METERS,-95.85
371.9,1948-08-01,1951-10-01,46.98333,"HILL CITY RANGER STATION, MN US",0.359,COOP:213764,METERS,-93.6
315.5,1937-06-01,2010-12-01,45.9919,"HINCKLEY, MN US",0.9603,COOP:213793,METERS,-92.9927
317,1951-03-01,1960-05-30,46.01667,"HINCKLEY, MN US",0.9956,COOP:213795,METERS,-92.95
197.2,1948-07-01,2010-05-01,43.7637,"HOKAH WWTP, MN US",0.4926,COOP:213808,METERS,-91.34815
209.1,2005-02-01,2014-12-01,43.79529,"HOKAH 4 NW, MN US",0.4959,COOP:213812,METERS,-91.42694
315.2,1948-09-01,2014-01-01,46.4675,"HOLYOKE, MN US",0.2289,COOP:213863,METERS,-92.3903
240.8,2000-10-01,2003-09-01,43.82028,"HOUSTON 5 NW, MN US",0.8895,COOP:213904,METERS,-91.62417
463.9,1958-03-01,1984-02-01,47.58333,"HOYT LAKES 5 N, MN US",0.9615,COOP:213921,METERS,-92.13333
333.8,1948-09-01,2009-11-24,44.909,"HUTCHINSON 1 N, MN US",0.8842,COOP:213962,METERS,-94.3674
326.1,2010-01-01,2014-12-01,44.8978,"HUTCHINSON 1 W, MN US",1,COOP:213965,METERS,-94.3719
333.8,1948-08-01,2015-11-01,48.6236,"INDUSTRIAL 3 W, MN US",0.9629,COOP:214008,METERS,-93.8992
352.6,1948-01-01,2015-11-01,48.55943,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",0.9939,COOP:214026,METERS,-93.39554
612.6,1957-09-01,2005-07-01,47.6181,"ISABELLA 1 W, MN US",0.9252,COOP:214068,METERS,-91.3753
530.4,2009-11-01,2015-11-01,47.59333,"ISABELLA 14 W, MN US",1,COOP:214077,METERS,-91.65139
429.8,2009-10-01,2015-11-01,47.02389,"ISLAND LAKE 4 E, MN US",1,COOP:214093,METERS,-92.07
418.2,1948-08-01,1995-09-01,46.98333,"ISLAND LAKE RESERVOIR, MN US",0.9806,COOP:214096,METERS,-92.23333
384,1936-04-01,1945-11-01,46.13333,"ISLE, MN US",0.9051,COOP:214102,METERS,-93.46667
391.7,1959-10-01,2015-11-01,46.3197,"ISLE 12 N, MN US",0.9125,COOP:214103,METERS,-93.5013
454.2,1911-05-01,2015-11-01,47.2255,"ITASCA UNIVERSITY OF MINN, MN US",0.9896,COOP:214106,METERS,-95.1919
274.3,1948-08-01,2015-11-01,44.6501,"JORDAN 1 SSW, MN US",0.8936,COOP:214176,METERS,-93.6356
365.8,1997-11-01,2015-11-01,48.4088,"KABETOGAMA, MN US",0.8573,COOP:214191,METERS,-93.0484
325.2,1962-12-01,1992-11-01,48.58333,"KARLSTAD, MN US",0.8555,COOP:214213,METERS,-96.51667
311.5,2002-08-01,2004-08-01,48.5558,"KARLSTAD 2 SE, MN US",0.8788,COOP:214215,METERS,-96.48
413.6,1963-09-01,2015-11-01,47.9422,"KELLIHER, MN US",0.8899,COOP:214233,METERS,-94.4553
342,1948-09-01,2015-11-01,48.5011,"KETTLE FALLS, MN US",0.7596,COOP:214306,METERS,-92.6444
353.6,2008-11-01,2015-11-01,45.3533,"KIMBALL 3 N, MN US",1,COOP:214373,METERS,-94.3056
320,1948-07-01,1954-06-01,45.01667,"LAC QUI PARLE DAM, MN US",0.7216,COOP:214410,METERS,-95.86667
197.2,1948-08-01,2015-11-01,43.8657,"LA CRESCENT DAM 7, MN US",0.9839,COOP:214418,METERS,-91.31
283.5,1993-05-01,2000-04-01,48.72444,"LAKE BRONSON, MN US",0.9285,COOP:214431,METERS,-96.62139
213.4,1946-01-01,2015-11-01,44.4363,"LAKE CITY, MN US",0.8987,COOP:214438,METERS,-92.2793
466.3,1948-08-01,2015-11-01,43.7022,"LAKEFIELD 2 NE, MN US",0.3036,COOP:214453,METERS,-95.1519
503.8,1973-05-01,2015-11-01,43.99878,"LAKE WILSON, MN US",0.9726,COOP:214534,METERS,-95.94908
347.5,1961-01-01,2015-11-01,44.2395,"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1,COOP:214546,METERS,-95.3152
291.1,1955-06-01,2015-11-01,43.7203,"LANESBORO, MN US",0.9752,COOP:214563,METERS,-91.9718
326.1,1948-08-01,1991-08-01,44.38333,"LE CENTER 2 SE, MN US",0.7505,COOP:214641,METERS,-93.71667
396.8,1893-01-01,2015-11-01,47.2467,"LEECH LAKE DAM, MN US",0.9919,COOP:214652,METERS,-94.2228
390.1,1940-04-01,1957-05-01,47.73333,"LEONARD 8 NE, MN US",0.9515,COOP:214688,METERS,-95.21667
300.2,2006-06-01,2015-11-01,44.8593,"LESTER PRAIRIE 2 S, MN US",0.8859,COOP:214692,METERS,-94.0503
253,1948-08-01,2014-01-01,44.4698,"LE SUEUR, MN US",0.8162,COOP:214721,METERS,-93.9025
341.4,1940-09-01,2015-11-01,45.12794,"LITCHFIELD, MN US",0.9845,COOP:214778,METERS,-94.53468
341.4,1931-01-01,2013-06-01,46.0039,"LITTLE FALLS 2 NNE, MN US",0.9847,COOP:214793,METERS,-94.345
342,1948-08-01,1972-11-01,45.98333,"LITTLE FALLS WATER W, MN US",0.8162,COOP:214798,METERS,-94.35
360,1948-08-01,1952-12-01,48.4,"LITTLEFORK RANGER ST, MN US",0.6789,COOP:214806,METERS,-93.55
365.8,1994-01-01,2009-09-01,48.36806,"LITTLEFORK 10 SW, MN US",0.9842,COOP:214809,METERS,-93.72139
408.4,1937-03-01,2015-11-01,45.9646,"LONG PRAIRIE, MN US",0.9534,COOP:214861,METERS,-94.8892
229.8,1991-09-01,2015-11-01,44.9784,"LOWER ST. ANTHONY FALLS, MN US",0.9588,COOP:214884,METERS,-93.2469
396.2,1986-10-01,2006-03-01,47.69806,"LUTSEN 3 NNE, MN US",0.9573,COOP:214918,METERS,-90.66556
457.2,1950-10-01,2014-01-01,43.6658,"LUVERNE, MN US",0.8616,COOP:214937,METERS,-96.2022
338.9,2013-01-01,2015-11-01,43.52433,"MABEL, MN US",1,COOP:214990,METERS,-91.76141
327.7,1940-05-01,2015-11-01,45.00236,"MADISON WWTP, MN US",0.9581,COOP:214994,METERS,-96.16611
369.4,1924-08-01,2015-11-01,47.3169,"MAHNOMEN, MN US",0.7902,COOP:215012,METERS,-95.9691
481.9,1931-01-01,1962-04-01,47.46667,"MAHONING MINE, MN US",0.9868,COOP:215020,METERS,-92.98333
259.1,1984-09-01,2010-10-01,44.1543,"MANKATO, MN US",1,COOP:215073,METERS,-94.0212
259.1,1931-01-01,1954-08-01,44.1543,"MANKATO, MN US",1,COOP:215088,METERS,-94.0212
307.8,2015-09-01,2015-11-01,44.1673,"MANKATO 4 E, MN US",1,COOP:215089,METERS,-93.9102
295.7,1931-01-01,1986-11-01,45,"MAPLE PLAIN, MN US",0.9851,COOP:215136,METERS,-93.65
422.8,1981-08-01,2007-09-01,47.6308,"MARCELL 5 NE, MN US",0.8859,COOP:215175,METERS,-93.6522
350.2,1935-04-01,2015-11-01,44.4716,"MARSHALL, MN US",0.9907,COOP:215204,METERS,-95.79019
386.8,1931-01-01,1986-07-01,46.98333,"MEADOWLANDS 9 S, MN US",0.9591,COOP:215298,METERS,-92.73333
390.1,1952-09-01,1954-09-01,47.08333,"MEADOWLANDS 1 N, MN US",0.0509,COOP:215302,METERS,-92.73333
362.7,1954-12-01,2015-11-01,45.6773,"MELROSE, MN US",0.9727,COOP:215325,METERS,-94.80203
324.3,1931-01-01,2015-11-01,45.7532,"MILACA, MN US",0.951,COOP:215392,METERS,-93.6617
310.9,1931-01-01,2015-11-01,45.1219,"MILAN 1 NW, MN US",0.9941,COOP:215400,METERS,-95.9269
254.5,1948-08-01,2015-11-01,44.88523,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",0.9937,COOP:215435,METERS,-93.23133
263.4,2009-09-01,2015-11-01,45.06222,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",1,COOP:215441,METERS,-93.35107
275.7,2009-09-01,2015-11-01,44.83214,"MINNEAPOLIS FLYING CLOUD AIRPORT, MN US",1,COOP:215443,METERS,-93.47051
369.1,1948-07-01,2015-11-01,44.563,"MINNEOTA, MN US",0.937,COOP:215482,METERS,-95.9969
204.2,1948-07-01,2015-11-01,44.1601,"MINNESOTA CITY DAM 5, MN US",0.9839,COOP:215488,METERS,-91.81247
430.1,1932-01-01,1940-03-01,47.95,"MIZPAH, MN US",0.8991,COOP:215533,METERS,-94.21667
301.8,1931-01-01,2015-11-01,44.9341,"MONTEVIDEO 1 SW, MN US",0.9912,COOP:215563,METERS,-95.74597
335.3,1948-08-01,2013-12-01,44.4597,"MONTGOMERY, MN US",0.7414,COOP:215571,METERS,-93.6631
275.5,1991-06-01,2015-11-01,46.8876,"MOORHEAD, MN US",0.8265,COOP:215586,METERS,-96.7482
287.1,1931-01-01,1953-07-01,46.86667,"MOORHEAD ST TEACHERS, MN US",0.9595,COOP:215589,METERS,-96.75
317,2004-02-01,2010-12-01,44.4175,"MORGAN, MN US",1,COOP:215590,METERS,-94.92167
338.3,1938-08-01,2015-11-01,46.4378,"MOOSE LAKE 1 SSE, MN US",0.9903,COOP:215598,METERS,-92.7578
323.1,1948-08-01,1960-02-01,46.45,"MOOSE LAKE RANGER ST, MN US",0.7555,COOP:215603,METERS,-92.76667
310.3,1931-01-01,2015-11-01,45.8776,"MORA, MN US",0.9863,COOP:215615,METERS,-93.3147
347.5,1931-01-01,2015-11-01,45.5901,"MORRIS WEST CENTRAL RESEARCH AND OUTREACH CENTER, MN US",0.9932,COOP:215638,METERS,-95.8745
285,1990-11-01,2003-04-01,44.95,"MOUND, MN US",0.807,COOP:215665,METERS,-93.65
348.1,1957-04-01,1961-07-01,48.3005,"AGASSIZ REFUGE, MN US",0.9998,COOP:215693,METERS,-95.9816
411.5,1972-05-01,1973-12-01,48.1,"NETT LAKE, MN US",0.998,COOP:215819,METERS,-93.08333
277.4,1991-05-01,2015-11-01,45.01,"NEW HOPE, MN US",0.9796,COOP:215838,METERS,-93.3792
381,1931-01-01,2009-07-01,45.3049,"NEW LONDON, MN US",0.93,COOP:215842,METERS,-94.9393
364.8,2009-10-01,2010-10-01,45.2597,"NEW LONDON SPICER, MN US",0.9992,COOP:215845,METERS,-94.9461
271.3,1931-01-01,2010-10-01,44.3006,"NEW ULM 2 SE, MN US",0.9927,COOP:215887,METERS,-94.4896
281.9,2011-01-01,2015-11-01,44.29451,"NEW ULM 3 SE, MN US",1,COOP:215888,METERS,-94.40842
431.3,1993-03-01,2015-11-01,46.52017,"NEW YORK MILLS, MN US",0.9816,COOP:215902,METERS,-95.33735
271.3,1948-08-01,2014-01-01,44.4753,"NORTHFIELD 2 NNE, MN US",0.9191,COOP:215987,METERS,-93.1486
431.3,2008-10-01,2015-11-01,47.83583,"NORTHOME 3 S, MN US",0.9886,COOP:215989,METERS,-94.25556
304.2,2007-01-01,2007-08-01,44.7775,"NORWOOD YOUNG AMERICA 1 W, MN US",1,COOP:215990,METERS,-93.93
259.1,1954-09-01,1984-08-01,44.1543,"MANKATO, MN US",0.9749,COOP:216007,METERS,-94.0212
304.8,2011-01-01,2014-12-01,44.1709,"NORTH MANKATO 2, MN US",1,COOP:216008,METERS,-94.0385
350.5,1948-08-01,1996-06-01,47.83333,"OKLEE, MN US",0.9339,COOP:216148,METERS,-95.85
335.3,1976-06-01,2014-12-01,44.7629,"OLIVIA 3 E, MN US",0.9849,COOP:216152,METERS,-94.9298
384,1948-08-01,2015-11-01,46.06773,"ONAMIA RANGER STATION, MN US",0.4121,COOP:216166,METERS,-93.66663
411.5,1970-09-01,1971-06-01,48.1,"NETT LAKE, MN US",0.9041,COOP:216210,METERS,-93.08333
